id,landmark_id
00000,1
00001,1
00002,1
00003,1
00004,1
00005,1
00006,1
00007,1
00008,1
00009,1
00010,1
00011,1
00012,1
00013,1
00014,1
00015,1
00016,1
00017,1
00018,1
00019,1
00020,1
00021,1
00022,1
00023,1
00024,1
00025,1
00026,1
00027,1
00028,1
00029,1
00030,1
00031,1
00032,1
00033,1
00034,1
00035,1
00036,1
00037,1
00038,1
00039,1
00040,1
00041,1
00042,1
00043,1
00044,1
00045,1
00046,1
00047,1
00048,1
00049,1
01000,2
01001,2
01002,2
01003,2
01004,2
01005,2
01006,2
01007,2
01008,2
01009,2
01010,2
01011,2
01012,2
01013,2
01014,2
01015,2
01016,2
01017,2
01018,2
01019,2
01020,2
01021,2
01022,2
01023,2
01024,2
01025,2
01026,2
01027,2
01028,2
01029,2
01030,2
01031,2
01032,2
01033,2
01034,2
01035,2
01036,2
01037,2
01038,2
01039,2
01040,2
01041,2
01042,2
01043,2
01044,2
01045,2
01046,2
01047,2
01048,2
01049,2
02000,3
02001,3
02002,3
02003,3
02004,3
02005,3
02006,3
02007,3
02008,3
02009,3
02010,3
02011,3
02012,3
02013,3
02014,3
02015,3
02016,3
02017,3
02018,3
02019,3
02020,3
02021,3
02022,3
02023,3
02024,3
02025,3
02026,3
02027,3
02028,3
02029,3
02030,3
02031,3
02032,3
02033,3
02034,3
02035,3
02036,3
02037,3
02038,3
02039,3
02040,3
02041,3
02042,3
02043,3
02044,3
02045,3
02046,3
02047,3
02048,3
02049,3
03000,4
03001,4
03002,4
03003,4
03004,4
03005,4
03006,4
03007,4
03008,4
03009,4
03010,4
03011,4
03012,4
03013,4
03014,4
03015,4
03016,4
03017,4
03018,4
03019,4
03020,4
03021,4
03022,4
03023,4
03024,4
03025,4
03026,4
03027,4
03028,4
03029,4
03030,4
03031,4
03032,4
03033,4
03034,4
03035,4
03036,4
03037,4
03038,4
03039,4
03040,4
03041,4
03042,4
03043,4
03044,4
03045,4
03046,4
03047,4
03048,4
03049,4
04000,5
04001,5
04002,5
04003,5
04004,5
04005,5
04006,5
04007,5
04008,5
04009,5
04010,5
04011,5
04012,5
04013,5
04014,5
04015,5
04016,5
04017,5
04018,5
04019,5
04020,5
04021,5
04022,5
04023,5
04024,5
04025,5
04026,5
04027,5
04028,5
04029,5
04030,5
04031,5
04032,5
04033,5
04034,5
04035,5
04036,5
04037,5
04038,5
04039,5
04040,5
04041,5
04042,5
04043,5
04044,5
04045,5
04046,5
04047,5
04048,5
04049,5
05000,6
05001,6
05002,6
05003,6
05004,6
05005,6
05006,6
05007,6
05008,6
05009,6
05010,6
05011,6
05012,6
05013,6
05014,6
05015,6
05016,6
05017,6
05018,6
05019,6
05020,6
05021,6
05022,6
05023,6
05024,6
05025,6
05026,6
05027,6
05028,6
05029,6
05030,6
05031,6
05032,6
05033,6
05034,6
05035,6
05036,6
05037,6
05038,6
05039,6
05040,6
05041,6
05042,6
05043,6
05044,6
05045,6
05046,6
05047,6
05048,6
05049,6
06000,7
06001,7
06002,7
06003,7
06004,7
06005,7
06006,7
06007,7
06008,7
06009,7
06010,7
06011,7
06012,7
06013,7
06014,7
06015,7
06016,7
06017,7
06018,7
06019,7
06020,7
06021,7
06022,7
06023,7
06024,7
06025,7
06026,7
06027,7
06028,7
06029,7
06030,7
06031,7
06032,7
06033,7
06034,7
06035,7
06036,7
06037,7
06038,7
06039,7
06040,7
06041,7
06042,7
06043,7
06044,7
06045,7
06046,7
06047,7
06048,7
06049,7
07000,8
07001,8
07002,8
07003,8
07004,8
07005,8
07006,8
07007,8
07008,8
07009,8
07010,8
07011,8
07012,8
07013,8
07014,8
07015,8
07016,8
